naslov,avtor,tip_oddaje,datum
"Kaj pa, če nočem?",Pia Nikolič,Striptiz,28. 3. 2024 – 13.45
"Zeleno, ki te ljubim zaman?",Matija Pohorec,Pisma iz tujine,28. 3. 2024 – 13.15
"ZVO.ČI.TI. prostor, prostoriti zvok",Nastja Virk,Kulturni obzornik,27. 3. 2024 – 13.15
Now that's what I call music,Michael C. Jumic,Leteči pilot,26. 3. 2024 – 21.00
Postopanje po govoru,Lucija Klauž,Kosilo nekega molja,26. 3. 2024 – 13.15
"Hiše, predvsem na TV",Uroš Mikanović,Hertz arhitektur,25. 3. 2024 – 20.00
Kuratorske raziskave transformativnih institucij,Kara Marušič,Kulturni obzornik,25. 3. 2024 – 13.15
Nekje drugje Tukaj,Urška Savič,Subjekt meseca,25. 3. 2024 – 10.00
Postati Sapfo,Hana Samec Sekereš,Objekt meseca,24. 3. 2024 – 20.00
"Ameriško-palestinski cikel: Hala Alyan, II.",Nastja Virk,Tu pa tam,24. 3. 2024 – 18.00
Risanke na 45 rpm,Erik Schmidt Vrabič,Kulturni obzornik,22. 3. 2024 – 13.15
"Show 990: The Whole World Stopped For A Baloon, Kanal 103 (Skopje)",Kulturno uredništvo,Radia Network,21. 3. 2024 – 22.30
Kaos popravljamo s kaosom,Tia Rozman,Kosilo nekega molja,21. 3. 2024 – 13.45
Igrivo slikarstvo,Neža Urbiha,Fine umetnosti,21. 3. 2024 – 13.15
Boj zoper digitalni monopol,Lea Sande,Kulturni obzornik,20. 3. 2024 – 13.15
My Heart Beats Out Of Time,Lea Sande,Humanistika,19. 3. 2024 – 13.15
LAAHAHAHAHAHAHAUGH,William Blomstedt,Tube(son),18. 3. 2024 – 23.00
Debatiranje o dokumentiranem,Vanja Gajić,Temna zvezda,18. 3. 2024 – 20.00
Objem na postaji Ajdovščina,Tia Rozman,Kulturni obzornik,18. 3. 2024 – 13.15
Transformacije telesnih tehnik,Marko Miočić,Teorema,17. 3. 2024 – 20.00
Gomazenje po festivalu Opus1,Samo Oleami,Ulična kritika,17. 3. 2024 – 18.00
"Show 989: Poetics of Imagination for Soundart Radio, Devon",Kulturno uredništvo,Radia Network,14. 3. 2024 – 22.30
Vsaka druga eno ujame,Urška Savič,Teater v eter,14. 3. 2024 – 13.45
Soočanje z vojno skozi umetnost,Brina Jerko,Odprti termin za kulturo,13. 3. 2024 – 21.00
Strip raste,Martin Pečan,Kulturni obzornik,13. 3. 2024 – 13.15
Through being cool,Michael C. Jumic,Leteči pilot,12. 3. 2024 – 21.00
Prgišče videvanj,Lucija Klauž,Fine umetnosti,12. 3. 2024 – 13.15
Zapisane napisane predpisane,Neja Berger,R A D A R,11. 3. 2024 – 23.00
Zomi,Tibor Suša,Kulturni obzornik,11. 3. 2024 – 13.15
Ameriško-palestinski cikel: Hala Alyan,Nastja Virk,Tu pa tam,10. 3. 2024 – 18.00
Obzorja osmega marca,Hana Samec Sekereš,Kulturni obzornik,8. 3. 2024 – 13.05
Show 988: “Sheela-Na-Gig” by Carine Demange For Radio Campus Bruxelles,Kulturno uredništvo,Radia Network,7. 3. 2024 – 22.30
Ni prostora za žene?,Urška Malič,Sektor Ž,7. 3. 2024 – 21.30
"Tartif, »pif pif!«",Nastja Virk,Teater v eter,7. 3. 2024 – 13.45
Ali je drugačnost enaka?,Laura Drašler,Kosilo nekega molja,7. 3. 2024 – 13.15
Pokemoni s kalašnikovimi,Mato Žgajner,Pritiskavec Gold,5. 3. 2024 – 21.00
Lovljenje repa,Nika Gradišek,Kosilo nekega molja,5. 3. 2024 – 13.45
Poželenje in zgražanje,Marko Miočić,Humanistika,5. 3. 2024 – 13.15
Pot in pripoved,Lucija Klauž,Art-area,4. 3. 2024 – 23.00
Pastorala,Matjaž Zorec,Literarni incest,4. 3. 2024 – 20.00
Protostripovska situlska umetnost,Nik Rus,Stripofilija,3. 3. 2024 – 18.00
Show 987 | Bruit Confus & CCDM – Improv Sequence | Radio Grenouille,Kulturno uredništvo,Radia Network,29. 2. 2024 – 22.30
Ne ravno venec,Jakob Kos,Kosilo nekega molja,29. 2. 2024 – 13.45
"Prevajati v prazno, zvesti v praznino",Lucija Klauž,Kosilo nekega molja,29. 2. 2024 – 13.15
Soočanje z vojno,Brina Jerko,Odprti termin za kulturo,28. 2. 2024 – 21.00
Kam gre zlati medved?,Tina Tomšič,Kulturni obzornik,28. 2. 2024 – 13.15
She's all that,Michael C. Jumic,Leteči pilot,27. 2. 2024 – 21.00
"Dobri, a prekleti ljudje",Marja Zakelšek,Kinobar,27. 2. 2024 – 13.45
Tosja Flaker Berce,Vanja Gajić,Kinobar,27. 2. 2024 – 13.15
Četrta narava,Urška Škerl,Tipologije prostora,26. 2. 2024 – 20.00
Krog življenja pod UV lučko,RKHV Vajenke,Kulturni obzornik,26. 2. 2024 – 13.15
Ameriška staroselska proza IV: Terese Marie Mailhot,Anja Zidar,Tu pa tam,25. 2. 2024 – 18.00
Glas ljudstva,Pavel Lipovšek,Urbi et orbi,24. 2. 2024 – 15.00
Stolpniška soseska – drugič,Martin Pečan,Kulturni obzornik,23. 2. 2024 – 13.30
Show 986: Five Sonic Spaces – Gardens for dreamers with awaken minds by Rita Silva (for Rádio Zero),Kulturno uredništvo,Radia Network,22. 2. 2024 – 22.30
kdorgakupisezastrupi,RKHV Vajenke,Kosilo nekega molja,22. 2. 2024 – 13.45
"Vztrajaj, Adamant!",RKHV Vajenke,Kinobar,22. 2. 2024 – 13.15
"Družba, to smo mi",RKHV Vajenke,Kulturni obzornik,21. 2. 2024 – 13.15
Posest-dom,RKHV Vajenke,Teater v eter,20. 2. 2024 – 13.45
Prostor z razgledom,RKHV Vajenke,Teater v eter,20. 2. 2024 – 13.15
NEPTUNE########(((()))))((())(____))),William Blomstedt,Tube(son),19. 2. 2024 – 23.00
Pa ne me jebat,RKHV Vajenke,Kulturni obzornik,19. 2. 2024 – 13.15
Last in še marsikaj,RKHV Vajenke,Kulturni obzornik,16. 2. 2024 – 13.15
"Show 985: A los cuatro vientos by Félix Blume (Guestslot, Radio Campus Paris)",Kulturno uredništvo,Radia Network,15. 2. 2024 – 22.30
Bog je že drugič mrtev in prihaja nov kralj,RKHV Vajenke,Kosilo nekega molja,15. 2. 2024 – 13.45
Dimni oblak refleksij,RKHV Vajenke,Kosilo nekega molja,15. 2. 2024 – 13.15
Korigiranje strejt zgodovinopisja,Metod Zupan,Kulturni obzornik,14. 2. 2024 – 13.15
Things fall apart,Michael C. Jumic,Leteči pilot,13. 2. 2024 – 21.00
Obračanje v grobu,Metod Zupan,Teater v eter,13. 2. 2024 – 13.45
Kako padati,Nastja Virk,Striptiz,13. 2. 2024 – 13.15
"Praznikovanje, po navdihu",Valerija Intihar,R A D A R,12. 2. 2024 – 23.00
Kartiranje krajine uprizoritvenih umetnosti na spletu,Mojca Podlesek,Teritorij teatra,12. 2. 2024 – 20.00
Ameriška staroselska proza III: Oscar Hokeah,Anja Zidar,Tu pa tam,11. 2. 2024 – 18.00
Kot počnejo stvari v tujini,Martin Pečan,Kulturni obzornik,9. 2. 2024 – 13.15
Show 984: LOFI LOOP #7 : HAND MADE GENERATIVE MUSIC (RADIA MIX) by GABI SCHAFFNER for radio x,Kulturno uredništvo,Radia Network,8. 2. 2024 – 22.30
"Moški, ah, larifari",Metod Zupan,Kinobar,8. 2. 2024 – 13.45
Heterogeni Iran,Tibor Suša,Humanistika,8. 2. 2024 – 13.15
AI-impresionizem tudi v Reviji NIč,RKHV Vajenke,Kulturni obzornik,7. 2. 2024 – 13.15
Izlet v Perzijo,Mato Žgajner,Pritiskavec Gold,6. 2. 2024 – 21.00
In odprla so se nebesa,Marko Miočić,Kinobar,6. 2. 2024 – 13.45
Iz dnevnika med knjižne platnice,Tina Tomšič,Kosilo nekega molja,6. 2. 2024 – 13.15
"Umetnost, ki nekaj šteje",Neža Urbiha,Art-area,5. 2. 2024 – 23.00
Praznična kultura,Matjaž Zorec,Literarni incest,5. 2. 2024 – 20.00
"Oh, ta osemdeseta",Vanja Gajić,Kulturni obzornik,5. 2. 2024 – 13.15
Stripovska zaspanost in alkimija,Nik Rus,Stripofilija,4. 2. 2024 – 18.00
"Od daleč iluzija, od blizu slika",Lucija Klauž,Kulturni obzornik,2. 2. 2024 – 13.15
Show 983: Oniric Reverberations (TEAFM Radio Workshop),Kulturno uredništvo,Radia Network,1. 2. 2024 – 22.30
T****T!,Nina Pernat,Sektor Ž,1. 2. 2024 – 21.30
In bila je svetloba,Jakob Kos,Kosilo nekega molja,1. 2. 2024 – 13.15
Bojišče s pozabljenimi koščki miru,RKHV Vajenke,Kulturni obzornik,31. 1. 2024 – 13.15
Like it’s 1999,Michael C. Jumic,Leteči pilot,30. 1. 2024 – 21.00
"Duh je voljan, meso pa še bolj",Martin Pečan,Kosilo nekega molja,30. 1. 2024 – 13.45
»Ko se strga prebrana pesem«,Samo Oleami,Kosilo nekega molja,30. 1. 2024 – 13.15
Recipročnost objekta,Valerija Intihar,Objekt meseca,28. 1. 2024 – 20.00
Ameriška staroselska proza II: Morgan Talty,Anja Zidar,Tu pa tam,28. 1. 2024 – 18.00
Arhitekturni glodalec,Pavel Lipovšek,Urbi et orbi,27. 1. 2024 – 15.00
65 83 67 73 73 32 97 114 116,Lea Sande,Kulturni obzornik,26. 1. 2024 – 13.15
"Show 981: Sounds Queer? by wiener radia kollektiv (Radio Orange 94.0, Vienna)",Kulturno uredništvo,Radia Network,25. 1. 2024 – 22.30
Sestop in premestitev v zanki,Lucija Klauž,Fine umetnosti,25. 1. 2024 – 13.45
Bilo je nekoč ... v Sarajevu,RKHV Vajenke,Kosilo nekega molja,25. 1. 2024 – 13.15
Umetnost vojne/Umetnost miru,Jon Napotnik,Teater v eter,25. 1. 2024 – 9.00
Na(d)loge mladinskih zvez,RKHV Vajenke,Kulturni obzornik,24. 1. 2024 – 13.15
Ritualnost rutine,RKHV Vajenke,Kinobar,23. 1. 2024 – 13.15
Gentrifikacija,Blaž Šenica,Hertz arhitektur,22. 1. 2024 – 20.00
Lijepo je bilo u Sarajevu,Matija Pohorec,Kulturni obzornik,22. 1. 2024 – 13.15
Radikalno zapustiti Nemčijo,Tina Tomšič,Subjekt meseca,21. 1. 2024 – 20.00
Letina gledališke sezone 2023,Samo Oleami,Ulična kritika,21. 1. 2024 – 18.00
Show 981: Zéro propos. Zéro titre (*DUUU Radio),Kulturno uredništvo,Radia Network,18. 1. 2024 – 22.30
Popolnoma jasno,RKHV Vajenke,Kosilo nekega molja,18. 1. 2024 – 13.45
Z roko v zid,RKHV Vajenke,Fine umetnosti,18. 1. 2024 – 13.15
Redux,Michael C. Jumic,Leteči pilot,16. 1. 2024 – 21.00
Ples na trgu,RKHV Vajenke,Teater v eter,16. 1. 2024 – 13.45
Zadnji metek šparajte zase!,Matjaž Zorec,Teater v eter,16. 1. 2024 – 13.15
lady be a luck,William Blomstedt,Tube(son),15. 1. 2024 – 23.00
Kurc te gleda!,Vanja Gajić,Temna zvezda,15. 1. 2024 – 20.00
Vedno rabi bit vse roza,RKHV Vajenke,Kulturni obzornik,15. 1. 2024 – 13.15
Vladimir Majakovski: Noč pred božičem,Vid Bešter,Objekt meseca,14. 1. 2024 – 20.00
Ameriška staroselska proza I: Lisa Bird-Wilson,Anja Zidar,Tu pa tam,14. 1. 2024 – 18.00
Seciranje poezije,RKHV Vajenke,Kulturni obzornik,12. 1. 2024 – 13.15
Džamahirija od spodaj navzgor,Fin Lucu Dražovič,Humanistika,11. 1. 2024 – 13.45
Zadeta Amerika,Marko Miočić,Humanistika,11. 1. 2024 – 13.15
Prijetne igre,Mato Žgajner,Pritiskavec Gold,9. 1. 2024 – 21.00
Navdušujoče razkrivanje povprečnosti,Lea Sande,Pritiskavec,9. 1. 2024 – 13.45
Ko aligatorji obmolknejo,Tadej Pavković,Pritiskavec,9. 1. 2024 – 13.15
Performativni potencial iger vlog,Varja Hrvatin,Teritorij teatra,8. 1. 2024 – 20.00
Strojno prevajanje,Marko Miočić,Kulturni obzornik,8. 1. 2024 – 13.15
Mala Mara in stripi na dražbah,Nik Rus,Stripofilija,7. 1. 2024 – 18.00
Dvojna tematizacija pogleda,RKHV Vajenke,Kulturni obzornik,5. 1. 2024 – 13.15
Nazaj v kuhinjo in naprej na internet,Lucija Ivanuša,Sektor Ž,4. 1. 2024 – 21.30
"Mad Jakale in film, ki se odvija pred našimi očmi",Nastja Virk,Teater v eter,4. 1. 2024 – 13.45
Domet pogleda,Hana Samec Sekereš,Kosilo nekega molja,4. 1. 2024 – 13.15
Z luknjami v vsebini,Kulturno uredništvo,Kosilo nekega molja,3. 1. 2024 – 13.15
Consumer recreation,Michael C. Jumic,Leteči pilot,2. 1. 2024 – 21.00
To vzdihovanje je resničnejše kakor človeška modrost,RKHV Vajenke,Kosilo nekega molja,2. 1. 2024 – 13.45
Beton in beda,RKHV Vajenke,Kosilo nekega molja,2. 1. 2024 – 13.15
Écriture géologique,Andrea Zabric,Art-area,1. 1. 2024 – 23.00
Poslanica,Matjaž Zorec,Literarni incest,1. 1. 2024 – 20.00
»Somewhere between the rubble and trouble a cave is put together.«,Lucija Klauž,Kulturni obzornik,29. 12. 2023 – 13.15
Show 978 : translate chain by radiopsg (TT Node),Kulturno uredništvo,Radia Network,28. 12. 2023 – 22.30
Ars austeritatis,Martin Pečan,Kulturni obzornik,28. 12. 2023 – 15.10
Fun fact,RKHV Vajenke,Teater v eter,28. 12. 2023 – 13.15
Upanje študentov umre zadnje,RKHV Vajenke,Kulturni obzornik,27. 12. 2023 – 15.10
Vplivne zablode,RKHV Vajenke,Humanistika,27. 12. 2023 – 13.15
Samostojni in enotni,Martin Pečan,Kulturni obzornik,26. 12. 2023 – 13.15
Žvenket v žepih,Marko Miočić,Uhljač,25. 12. 2023 – 23.00
Problem stvari,Urška Škerl,Tipologije prostora,25. 12. 2023 – 20.00
"Vedno na voljo, do aprila",RKHV Vajenke,Fine umetnosti,25. 12. 2023 – 13.15
Karibski cikel III: René Maran,Nastja Virk,Tu pa tam,24. 12. 2023 – 18.00
Gospodovo 2023,Dušan Bulajić,Urbi et orbi,23. 12. 2023 – 15.00
Fada s študenti iz Nigra,Minka Jerala,Kulturni obzornik,22. 12. 2023 – 15.10
Pogled v Črno skrinjico,Hana Samec Sekereš,Kulturni obzornik,22. 12. 2023 – 13.15
Show 977: CONTINUUM (Usmaradio),Kulturno uredništvo,Radia Network,21. 12. 2023 – 22.30
Krška Luksuz produkcija,Tibor Suša,Kulturni obzornik,21. 12. 2023 – 15.10
Čas polni čas,RKHV Vajenke,Teater v eter,21. 12. 2023 – 13.15
"A tvoja mami ve, da snemaš porniče?",RKHV Vajenke,Kulturni obzornik,20. 12. 2023 – 15.10
Ste bili takrat zvezde?,RKHV Vajenke,Teater v eter,20. 12. 2023 – 13.15
Home Alone is a Christmas movie,Michael C. Jumic,Leteči pilot,19. 12. 2023 – 21.00
Utopimo spolno nasilje,RKHV Vajenke,Kulturni obzornik,19. 12. 2023 – 13.15
FROST,William Blomstedt,Tube(son),18. 12. 2023 – 23.00
Pregled filmskega leta 2023,Lenart Sušnik,Temna zvezda,18. 12. 2023 – 20.00
"Družina, družini, družine",Brina Jerko,Teater v eter,18. 12. 2023 – 13.15
"Tresla se je gora, Ljubljana je Berlin",Uroš Mikanović,Teorema,17. 12. 2023 – 20.00
Urbana kultura izven urbanih centrov,Samo Oleami,Ulična kritika,17. 12. 2023 – 18.00
Vzpon in propad nekega pogleda,Neža Urbiha,Kulturni obzornik,15. 12. 2023 – 13.15
Show 976: Armen by Andrius Arutiunian (Radio Papesse),Kulturno uredništvo,Radia Network,14. 12. 2023 – 22.30
Iz teme izvito,Lea Sande,Striptiz,14. 12. 2023 – 13.15
Delovni naslov: »Plac za naše«,Metod Zupan,Uhljač,13. 12. 2023 – 21.00
Labirint devetdesetih let,Saša Hajzler,Fine umetnosti,13. 12. 2023 – 13.15
Bullet time,Mato Žgajner,Pritiskavec Gold,12. 12. 2023 – 21.00
Najdbišče fosilov prihodnosti,RKHV Vajenke,Kulturni obzornik,12. 12. 2023 – 13.15
Igrifikacija uprizoritve kot kritična strategija,Varja Hrvatin,Teritorij teatra,11. 12. 2023 – 20.00
Drevesa so najpravičnejši tovariši,Nastja Virk,Striptiz,11. 12. 2023 – 13.15
Kvir SK8,Lea Sande,Objekt meseca,10. 12. 2023 – 20.00
Karibski cikel II: Patrick Chamoiseau,Nastja Virk,Tu pa tam,10. 12. 2023 – 18.00
Ko snežna kepa trči ob steno,Nastja Virk,Kulturni obzornik,8. 12. 2023 – 13.15
Show 975: ‘The Day After’ with Aida Touma-Sliman (radioart106),Kulturno uredništvo,Radia Network,7. 12. 2023 – 22.30
Feministična zunanja politika – od zgoraj in od spodaj,Nina Pernat,Sektor Ž,7. 12. 2023 – 21.30
"Pametni pišejo, preudarni izbrišejo",Vanja Gajić,Dlako z jezika,7. 12. 2023 – 13.15
Miklavž je superstar,Martin Pečan,Kulturni obzornik,6. 12. 2023 – 15.10
Barvna premlevanja,Jernej Meden,Humanistika,6. 12. 2023 – 13.15
Step to the new world,Michael C. Jumic,Leteči pilot,5. 12. 2023 – 21.00
30 let Impro lige,RKHV Vajenke,Kulturni obzornik,5. 12. 2023 – 13.15
"Moja zemlja, moje korenine",Urška Savič,R A D A R,4. 12. 2023 – 23.00
"Jara kača besed, žakelj pa brez mačka",Hana Samec Sekereš,Kosilo nekega molja,4. 12. 2023 – 13.15
Predpraznični pregled letošnjih spregledanih stripov,Lea Sande,Stripofilija,3. 12. 2023 – 18.00
"Whispers, yes; stories, no.",Lucija Klauž,Kulturni obzornik,1. 12. 2023 – 13.15
Show 974: Five Motley Exchanges by Peter Blamey for diffusionfm,Kulturno uredništvo,Radia Network,30. 11. 2023 – 22.30
Terra Xenobiotica,Tina Tomšič,Kulturni obzornik,30. 11. 2023 – 13.15
"Zemljo kmetom, tovarne delavcem, revolucijo narodu",Jaka Virant,Repetitio,29. 11. 2023 – 21.00
Mati narava,Brina Jerko,Kulturni obzornik,29. 11. 2023 – 15.10
Trda zbita zemlja,Urška Savič,Teater v eter,29. 11. 2023 – 13.15
Žnablaj za svoj lajf!,Matija Pohorec,Kulturni obzornik,28. 11. 2023 – 13.15
Vulkanska galvanizacija,Andrea Zabric,Pisma iz tujine,27. 11. 2023 – 13.15
Lorenzo Chiesa,Marko Miočić,Subjekt meseca,26. 11. 2023 – 20.00
Karibski cikel I: Maryse Condé,Nastja Virk,Tu pa tam,26. 11. 2023 – 18.00
Postaviti urbanistično načrtovanje na glavo,Pavel Lipovšek,Urbi et orbi,25. 11. 2023 – 15.00
Show 973: Soundscapes after October 7th 2023 (Radio Študent),Kulturno uredništvo,Radia Network,23. 11. 2023 – 22.30
A ima kdo kakšen robček? Smrk. Smrk.,Neža Vengust,Fine umetnosti,23. 11. 2023 – 13.15
Z norostjo proti neumnosti: dezinstitucionalizacija skrbstvenih zavodov,Hana Samec Sekereš,Subjekt meseca,22. 11. 2023 – 21.00
Avtomatizacija ritma,Brina Jerko,Kulturni obzornik,22. 11. 2023 – 15.10
Improviziraj me asociativno,Samo Oleami,Teater v eter,22. 11. 2023 – 13.15
Glittering images,Michael C. Jumic,Leteči pilot,21. 11. 2023 – 21.00
Kodiranje novih perspektiv,Lea Sande,Kulturni obzornik,21. 11. 2023 – 13.15
the WIND the WIND the WIND the WIND the,William Blomstedt,Tube(son),21. 11. 2023 – 2.00
Glas med filmom in občinstvom,Oskar Ban Brejc,Temna zvezda,20. 11. 2023 – 20.00
"Za Marxa, proti Človeku",Marko Miočić,Humanistika,20. 11. 2023 – 13.15
Kdo je Nemcu najboljši sosed?,Tina Tomšič,Kulturni obzornik,17. 11. 2023 – 13.15
Show 972: Variations on a Topography by Lia Kohl for Wave Farm,Kulturno uredništvo,Radia Network,16. 11. 2023 – 22.30
SAAAAM’ ŠE ENA RECENZIJA,Metod Zupan,Teater v eter,16. 11. 2023 – 13.15
Gledališče k ljudem,Evelin Bizjak,Kulturni obzornik,15. 11. 2023 – 15.10
Zbirke Dread X,Mato Žgajner,Pritiskavec Gold,14. 11. 2023 – 21.00
Brez vozla na koncu jezika,Hana Samec Sekereš,Kulturni obzornik,14. 11. 2023 – 13.15
Gaza on the radar,Saša Hajzler,R A D A R,13. 11. 2023 – 23.00
Plesati kvir,Metod Zupan,Teritorij teatra,13. 11. 2023 – 20.00
"Pezdnik umira med pisanjem. Crk, crk, crk, crk.",Kulturno uredništvo,Kosilo nekega molja,13. 11. 2023 – 13.15
Nemški cikel III: Olivia Wenzel,Hana Samec Sekereš,Tu pa tam,12. 11. 2023 – 18.00
"Glas skozi objekt, glas skozi material",Nastja Virk,Kulturni obzornik,10. 11. 2023 – 13.15
Show 971: Subterranean Bubbles by Music for hiccups (Radio Panik),Kulturno uredništvo,Radia Network,9. 11. 2023 – 22.30
Posnetki iz vojnih območij - pogovor,Lenart Sušnik,Temna zvezda,9. 11. 2023 – 21.30
Nismo retrospektivni,Tina Tomšič,Kulturni obzornik,9. 11. 2023 – 18.00
Periferizacija Slovenije,Tibor Suša,Humanistika,9. 11. 2023 – 13.15
Biznis po Frankfurtu,Martin Pečan,Kulturni obzornik,8. 11. 2023 – 15.10
Plesno gledališče na frindžu,Samo Oleami,Teater v eter,8. 11. 2023 – 13.15
NFR is an album about dating a cop,Michael C. Jumic,Leteči pilot,7. 11. 2023 – 21.00
''Tens across the board!'',Brina Jerko,Kulturni obzornik,7. 11. 2023 – 13.15
"Brati, pisati in misliti v umetnosti",Tina Tomšič,Art-area,6. 11. 2023 – 23.00
Incest na koruzi,Matjaž Zorec,Literarni incest,6. 11. 2023 – 20.00
Iz bunkerja čez Berlin v Ljubljano,Vanja Gajić,Kinobar,6. 11. 2023 – 13.15
Variacije na strip kot medij družbene sporočilnosti,Nik Rus,Stripofilija,5. 11. 2023 – 18.00
Burekobzornik,Lea Sande,Kulturni obzornik,3. 11. 2023 – 13.15
"show 970: Much (scored out) love, A. / Excerpt (radioworm)",Kulturno uredništvo,Radia Network,2. 11. 2023 – 22.30
Blažene med ženami,Ana Koželnik,Sektor Ž,2. 11. 2023 – 21.30
Marx odraste,Martin Ulaga,Humanistika,2. 11. 2023 – 13.15
Med substanco in subjektom,Marko Miočić,Kulturni obzornik,1. 11. 2023 – 15.10
»Ljubljana je najlepše mesto na svetu.«,Tina Tomšič,Dlako z jezika,1. 11. 2023 – 13.15
Neomejen Rog trajanja?,Hana Samec Sekereš,Kulturni obzornik,31. 10. 2023 – 18.00
"Jenko, Mleček, žbunje: grobovi v njem",Martin Pečan,Kulturni obzornik,31. 10. 2023 – 13.15
Posnetki z vojnih območij,Lenart Sušnik,Temna zvezda,30. 10. 2023 – 20.00
Mi smo in-di-vi-due vi vi due,Neja Berger,Teorema,29. 10. 2023 – 18.00
Frankfurt je naš!,Tina Tomšič,Pisma iz tujine,29. 10. 2023 – 15.00
Biblos drugič,Tibor Suša,Kulturni obzornik,27. 10. 2023 – 13.15
Show 969: 720 to 28 or the impossible summary (Jet fm),Kulturno uredništvo,Radia Network,26. 10. 2023 – 22.30
Nasičenost tišine,Jakob Kos,Kosilo nekega molja,26. 10. 2023 – 13.15
"Mi gledamo film, film gleda nas",Nastja Virk,Kulturni obzornik,25. 10. 2023 – 15.10
Tavanje po mavzoleju,Samo Oleami,Kosilo nekega molja,25. 10. 2023 – 13.15
Enjoy the silence,Michael C. Jumic,Leteči pilot,24. 10. 2023 – 21.00
Kaj bo v Centru Rog?,Vid Bešter,Kulturni obzornik,24. 10. 2023 – 18.00
Prva obletnica Zasuka,Neža Urbiha,Kulturni obzornik,24. 10. 2023 – 13.15
O prehodnih prostorih in mejah na primeru Blatnega jezera,Mateja Kurir,Tipologije prostora,23. 10. 2023 – 20.00
Svoboda je najdražji fetiš,Matija Pohorec,Teater v eter,23. 10. 2023 – 13.15
Kakor ogenj v ognju,Martin Pečan,Repetitio,22. 10. 2023 – 20.00
Nemški cikel II: Necati Öziri,Hana Samec Sekereš,Tu pa tam,22. 10. 2023 – 18.00
"Če pride kdaj zapreka, v naravi išči leka",Minka Jerala,Kulturni obzornik,20. 10. 2023 – 13.15
Show 968: Verwüstung by Scar sisters (Radio Helsinki),Kulturno uredništvo,Radia Network,19. 10. 2023 – 22.30
Problemi z razsvetljavo,Nastja Virk,Kosilo nekega molja,19. 10. 2023 – 13.15
Zakaj? Zato.,Brina Jerko,Kulturni obzornik,18. 10. 2023 – 15.10
Lepi dečko angleškega nogometa,Tina Tomšič,Kinobar,18. 10. 2023 – 13.15
Po poteh Gloranthe,Mato Žgajner,Pritiskavec Gold,17. 10. 2023 – 21.00
Širokogrudnost mariborske alternative,Metod Zupan,Kulturni obzornik,17. 10. 2023 – 13.15
Galerija G+,Jon Napotnik,Subjekt meseca,17. 10. 2023 – 9.00
Spill the Wine,William Blomstedt,Tube(son),16. 10. 2023 – 23.00
Troopičje: Pisani svet malo kasneje ...,Anže Okorn,Objekt meseca,16. 10. 2023 – 20.00
Tipi so pičke,Lenart Sušnik,Kinobar,16. 10. 2023 – 13.15
LUDa Knjigarna,Martin Pečan,Kulturni obzornik,13. 10. 2023 – 13.15
Show 967: Into the Wild by Sound Art Brighton (for Resonance),Kulturno uredništvo,Radia Network,12. 10. 2023 – 22.30
Upor smrti,Brina Jerko,Kulturni obzornik,11. 10. 2023 – 15.10
Konec Pergamona,Tina Tomšič,Dlako z jezika,11. 10. 2023 – 13.15
The new normal,Michael C. Jumic,Leteči pilot,10. 10. 2023 – 21.00
Nenadna ljubezen je lestev do razumevanja,Lucija Klauž,Kulturni obzornik,10. 10. 2023 – 13.15
Klitoris je anarhistka,Valerija Intihar,R A D A R,9. 10. 2023 – 23.00
Naturščiki v rokah profijev,Metod Zupan,Teritorij teatra,9. 10. 2023 – 20.00
Slovenci na Festivalu animacije v Berlinu,Tina Tomšič,Kulturni obzornik,9. 10. 2023 – 13.15
Ljubljana je Berlin?,Blaž Šenica,Hertz arhitektur,8. 10. 2023 – 20.00
Nemški cikel I: Cecilia Joyce Röski,Hana Samec Sekereš,Tu pa tam,8. 10. 2023 – 18.00
"Deset let Igluja, aleluja!",Metod Zupan,Kulturni obzornik,6. 10. 2023 – 13.15
"Show 966: If you love me, you can tell me by Elektro Kultura (Kanal 103)",Kulturno uredništvo,Radia Network,5. 10. 2023 – 22.30
"Pojavi se kot odtenek, svetloba, vibracija",Andrea Zabric,Sektor Ž,5. 10. 2023 – 21.30
Kar ne znamo in ne zmoremo povedati,Hana Samec Sekereš,Kosilo nekega molja,5. 10. 2023 – 13.15
Ali mar vendarle odtujitev?,Marko Miočić,Kulturni obzornik,4. 10. 2023 – 15.10
Plešasta pevka bi lahko obrila malo več norcev.,Nastja Virk,Teater v eter,4. 10. 2023 – 13.15
Kdaj pride moj bus?,Lea Sande,Kulturni obzornik,3. 10. 2023 – 13.15
Kako je beseda vstopila v galerije,Tina Tomšič,Art-area,2. 10. 2023 – 23.00
Meta fore,Matjaž Zorec,Literarni incest,2. 10. 2023 – 20.00
Interpretacija Meduzinih sanj,Minka Jerala,Humanistika,2. 10. 2023 – 13.15
"Ohoho, pobarvan zlatirepec!",Janez Grm,Stripofilija,1. 10. 2023 – 18.00
10. obletnica Biblosa,Tibor Suša,Kulturni obzornik,29. 9. 2023 – 13.15
Show 965: SURINAME by Barbara De Dominicis & Cristian Maddalena (Rádio Zero),Kulturno uredništvo,Radia Network,28. 9. 2023 – 22.30
Gimnazijada,Vid Bešter,Kulturni obzornik,28. 9. 2023 – 15.10
Tri desetletja zavoda maska,Martin Pečan,Kulturni obzornik,28. 9. 2023 – 13.15
Moč narave,Brina Jerko,Kulturni obzornik,27. 9. 2023 – 15.10
Just do it,Michael C. Jumic,Leteči pilot,26. 9. 2023 – 21.00
