naslov,avtor,tip_oddaje,datum
Škofjeloška alternativna Nama,Marko Miočić,Kulturni obzornik,13. 9. 2024 – 12.15
Show 1014: Bratislava: Voices of Freedom (Kanal 103),Kulturno uredništvo,Radia Network,12. 9. 2024 – 22.30
Brojati sitno,Marko Miočić,Kulturni obzornik,11. 9. 2024 – 13.15
Play,Michael C. Jumic,Leteči pilot,10. 9. 2024 – 21.00
Poslušate Razvedrilodrom,Metod Zupan,Teater v eter,10. 9. 2024 – 13.15
Psycho soma,Urška Savič,R A D A R,9. 9. 2024 – 23.00
Rana je vstop v žilo,Tia Rozman,Kulturni obzornik,9. 9. 2024 – 13.15
Mašinhaus,Samo Oleami,Subjekt meseca,8. 9. 2024 – 20.00
Show: 1013 Where is my horse? (Soundart Radio),Kulturno uredništvo,Radia Network,5. 9. 2024 – 22.30
"Sir, a second Fun Fact has hit the tower",Nika Gradišek,Teater v eter,5. 9. 2024 – 13.50
Skok v neznano morje,Tia Rozman,Teater v eter,5. 9. 2024 – 13.30
Veliki Boršt nas gleda,Ana Jerina,Teater v eter,5. 9. 2024 – 13.10
Objekti kot subjekti kronologa Dušana Letnarja,Lenart Sušnik,Kulturni obzornik,4. 9. 2024 – 14.38
Jajce podzavesti,Siri Savski,Teater v eter,3. 9. 2024 – 13.50
"Oprostite, cvetovi?",Kulturno uredništvo,Teater v eter,3. 9. 2024 – 13.30
Sveže pečena anksioznost,Vid Zaman,Teater v eter,3. 9. 2024 – 13.10
Slovaško ogledalo,Vid Bešter,Uhljač,2. 9. 2024 – 23.00
Smoter tetoversko-stripovskega ustvarjanja mladih,Nik Rus,Stripofilija,1. 9. 2024 – 18.00
Zakaj Evropa potrebuje grounding?,Laura Drašler,Kulturni obzornik,30. 8. 2024 – 13.15
Show 1012: SONIC HUGS BY COLIN BLACK FOR THIS SONIC LIVE (Guest Slot),Kulturno uredništvo,Radia Network,29. 8. 2024 – 22.30
"Ne čisto neantropocentrično, pa vendar …",Nastja Virk,Teater v eter,29. 8. 2024 – 13.45
Narava au naturelle,Brina Jerko,Ulična kritika,29. 8. 2024 – 13.15
Kela v Kranju,Kara Marušič,Kulturni obzornik,28. 8. 2024 – 13.15
"Waw, kmetijstvo",Nika Gradišek,Teater v eter,27. 8. 2024 – 13.45
Delegirani performans v preobleki participacije,Evelin Bizjak,Teater v eter,27. 8. 2024 – 13.15
A modern joker?,William Blomstedt,Tube(son),26. 8. 2024 – 23.00
"FeKK odhaja, kratki film ostaja",Siri Savski,Kulturni obzornik,26. 8. 2024 – 13.15
Kitka Dinamitka: intervju,Matija Pohorec,Kulturni obzornik,23. 8. 2024 – 13.15
Show 1011 – The revolution will not be digitalized (Radio Campus),Kulturno uredništvo,Radia Network,22. 8. 2024 – 22.30
Kinki umor iz strasti?,Metod Zupan,Kosilo nekega molja,22. 8. 2024 – 13.15
KratKKi intervjuji z desetga FeKK-a,Laura Drašler,Kulturni obzornik,21. 8. 2024 – 13.15
Smeh je ½ špila,Mato Žgajner,Pritiskavec Gold,20. 8. 2024 – 21.00
Na pragu nepojmljivega,Lea Sande,Pritiskavec,20. 8. 2024 – 13.15
"Ugani, kdo je danes skuhal kosilo",RKHV Vajenke,Objekt meseca,18. 8. 2024 – 20.00
Umetniške strategije v performativnih umetnostih – I. del,Samo Oleami,Ulična kritika,18. 8. 2024 – 18.00
Show 1010: At the Garden (Radio Grenouille – Euphonia),Kulturno uredništvo,Radia Network,15. 8. 2024 – 22.30
Pričakujte vse,Matjaž Zorec,Kinobar,15. 8. 2024 – 13.15
"Milo rase plastika, plastika življenja mila",Hana Samec Sekereš,Kulturni obzornik,14. 8. 2024 – 13.15
Pssst,Metod Zupan,Teritorij teatra,12. 8. 2024 – 20.00
"Kerdej, vardahej, johi",Maja Pongrac,Kulturni obzornik,12. 8. 2024 – 13.15
Kdo d fak je Žaklina Tomanović?,Neja Berger,Teorema,11. 8. 2024 – 18.00
Show 1009: Kaggen by pä (Radio Zero),Kulturno uredništvo,Radia Network,8. 8. 2024 – 22.30
ٱلْوَدُودُ,Minka Jerala,Humanistika,8. 8. 2024 – 13.45
"Odpovedati se staremu, prevpraševati novo",Hana Samec Sekereš,Kosilo nekega molja,8. 8. 2024 – 13.15
"Vruće, vrućije, Wonton girls",Metod Zupan,Kulturni obzornik,7. 8. 2024 – 13.15
Zaledje mrežnih estetik,Lea Sande,Humanistika,6. 8. 2024 – 13.30
Spletna etnologija,Lea Sande,Humanistika,6. 8. 2024 – 13.15
Literarni femicid,Matjaž Zorec,Literarni incest,5. 8. 2024 – 20.00
Skok v ulično kritiko 2024,Samo Oleami,Ulična kritika,5. 8. 2024 – 13.55
Thor na Hrvaškem,Nik Rus,Stripofilija,4. 8. 2024 – 18.00
